iter	Passed	Remaining
1048	33314	1554581
1049	33349	1554712
1050	33380	1554648
1051	33411	1554604
1052	33445	1554643
1053	33478	1554666
1054	33515	1554906
1055	33549	1554982
1056	33585	1555132
1057	33616	1555059
1058	33652	1555213
1059	33685	1555252
1060	33717	1555233
1061	33747	1555124
1062	33779	1555085
1063	33810	1555021
1064	33841	1554974
1065	33927	1557421
1066	33962	1557549
1067	33993	1557449
1068	34020	1557227
1069	34049	1557068
1070	34079	1556945
1071	34107	1556737
1072	34136	1556545
1073	34168	1556541
1074	34203	1556663
1075	34234	1556605
1076	34263	1556434
1077	34292	1556246
1078	34321	1556100
1079	34350	1555950
1080	34383	1555957
1081	34413	1555875
1082	34447	1555929
1083	34480	1555953
1084	34512	1555944
1085	34548	1556103
1086	34586	1556322
1087	34618	1556291
1088	34658	1556625
1089	34692	1556692
1090	34726	1556789
1091	34757	1556708
1092	34787	1556589
1093	34829	1556990
1094	34866	1557210
1095	34897	1557144
1096	34926	1556976
1097	34959	1557003
1098	35049	1559579
1099	35089	1559869
1100	35120	1559835
1101	35149	1559642
1102	35178	1559486
1103	35205	1559244
1104	35234	1559094
1105	35262	1558897
1106	35297	1558974
1107	35327	1558852
1108	35360	1558895
1109	35390	1558774
1110	35417	1558511
1111	35444	1558295
1112	35472	1558061
1113	35501	1557927
1114	35532	1557841
1115	35568	1558010
1116	35601	1558015
1117	35634	1558029
1118	35667	1558061
1119	35709	1558470
1120	35752	1558907
1121	35789	1559088
1122	35825	1559240
1123	35863	1559484
1124	35899	1559628
1125	35934	1559721
1126	35968	1559796
1127	36003	1559876
1128	36032	1559757
1129	36124	1562297
1130	36154	1562199
1131	36182	1561992
1132	36210	1561768
1133	36236	1561501
1134	36266	1561358
1135	36295	1561204
1136	36322	1560993
1137	36351	1560799
1138	36380	1560639
1139	36408	1560444
1140	36436	1560261
1141	36464	1560052
1142	36494	1559923
1143	36522	1559739
1144	36553	1559661
1145	36587	1559712
1146	36622	1559822
1147	36653	1559744
1148	36683	1559627
1149	36716	1559654
1150	36750	1559693
1151	36789	1559959
1152	36826	1560163
1153	36862	1560287
1154	36896	1560374
1155	36932	1560509
1156	36963	1560403
1157	36998	1560524
1158	37035	1560703
1159	37066	1560611
1160	37095	1560482
1161	37126	1560414
1162	37217	1562833
1163	37252	1562922
1164	37287	1563036
1165	37323	1563161
1166	37358	1563253
1167	37389	1563199
1168	37417	1563008
1169	37454	1563168
1170	37490	1563286
1171	37519	1563124
1172	37547	1562927
1173	37577	1562812
1174	37605	1562621
1175	37637	1562606
1176	37673	1562736
1177	37710	1562897
1178	37742	1562855
1179	37775	1562895
1180	37810	1562991
1181	37845	1563052
1182	37882	1563235
1183	37918	1563379
1184	37955	1563545
1185	37987	1563509
1186	38017	1563403
1187	38047	1563294
1188	38084	1563446
1189	38124	1563754
1190	38156	1563727
1191	38186	1563582
1192	38217	1563523
1193	38294	1565328
1194	38329	1565403
1195	38358	1565266
1196	38393	1565340
1197	38421	1565131
1198	38449	1564930
1199	38478	1564788
1200	38513	1564897
1201	38551	1565083
1202	38583	1565040
1203	38631	1565650
1204	38657	1565371
1205	38686	1565229
1206	38715	1565092
1207	38748	1565063
1208	38779	1565014
1209	38817	1565202
1210	38853	1565354
1211	38888	1565406
1212	38919	1565352
1213	38951	1565310
1214	38985	1565366
1215	39019	1565395
1216	39050	1565322
1217	39086	1565444
1218	39118	1565427
1219	39148	1565294
1220	39183	1565401
1221	39218	1565462
1222	39247	1565308
1223	39277	1565209
1224	39311	1565236
1225	39405	1567671
1226	39439	1567709
1227	39467	1567526
1228	39501	1567545
1229	39530	1567400
1230	39557	1567166
1231	39584	1566944
1232	39615	1566853
1233	39648	1566851
1234	39682	1566908
1235	39715	1566905
1236	39745	1566774
1237	39773	1566592
1238	39803	1566486
1239	39839	1566587
1240	39876	1566739
1241	39908	1566700
1242	39937	1566554
1243	39968	1566483
1244	40000	1566458
1245	40031	1566386
1246	40071	1566644
1247	40105	1566695
1248	40143	1566896
1249	40177	1566927
1250	40207	1566787
1251	40234	1566588
1252	40270	1566696
1253	40302	1566666
1254	40338	1566778
1255	40369	1566684
1256	40398	1566553
1257	40499	1569173
1258	40538	1569398
1259	40571	1569418
1260	40599	1569205
1261	40627	1569023
1262	40656	1568883
1263	40685	1568726
1264	40720	1568777
1265	40759	1569000
1266	40788	1568867
1267	40816	1568660
1268	40846	1568555
1269	40876	1568437
1270	40904	1568233
1271	40937	1568225
1272	40972	1568309
1273	41008	1568443
1274	41039	1568344
1275	41071	1568316
1276	41104	1568297
1277	41138	1568332
1278	41171	1568365
1279	41206	1568435
1280	41242	1568526
1281	41276	1568565
1282	41305	1568420
1283	41334	1568280
1284	41371	1568396
1285	41407	1568539
1286	41439	1568483
1287	41469	1568362
1288	41500	1568303
1289	41598	1570741
1290	41628	1570631
1291	41661	1570624
1292	41691	1570504
1293	41720	1570354
1294	41750	1570240
1295	41780	1570104
1296	41816	1570224
1297	41844	1570046
1298	41878	1570074
1299	41909	1569977
1300	41937	1569790
1301	41965	1569601
1302	41994	1569447
1303	42024	1569347
1304	42058	1569376
1305	42097	1569600
1306	42132	1569651
1307	42165	1569679
1308	42201	1569765
1309	42235	1569795
1310	42270	1569873
1311	42302	1569852
1312	42334	1569809
1313	42373	1570026
1314	42405	1569983
1315	42434	1569807
1316	42463	1569675
1317	42500	1569795
1318	42536	1569927
1319	42565	1569764
1320	42595	1569641
1321	42697	1572198
1322	42730	1572180
1323	42758	1571983
1324	42787	1571852
1325	42825	1571994
1326	42856	1571918
1327	42885	1571765
1328	42913	1571603
1329	42949	1571680
1330	42982	1571695
1331	43011	1571525
1332	43039	1571352
1333	43067	1571161
1334	43097	1571029
1335	43127	1570915
1336	43161	1570949
1337	43202	1571252
1338	43236	1571261
1339	43268	1571223
1340	43301	1571207
1341	43334	1571229
1342	43368	1571228
1343	43409	1571509
1344	43443	1571543
1345	43478	1571612
1346	43507	1571475
1347	43538	1571379
1348	43578	1571619
1349	43613	1571692
1350	43645	1571646
1351	43675	1571539
1352	43718	1571884
1353	43773	1572688
1354	43806	1572678
1355	43836	1572557
1356	43869	1572560
1357	43900	1572453
1358	43929	1572323
1359	43958	1572149
1360	43994	1572248
1361	44023	1572124
1362	44056	1572088
1363	44086	1571980
1364	44117	1571900
1365	44146	1571742
1366	44174	1571572
1367	44201	1571334
1368	44239	1571518
1369	44274	1571584
1370	44306	1571545
1371	44340	1571563
1372	44369	1571418
1373	44401	1571357
1374	44432	1571310
1375	44475	1571652
1376	44510	1571693
1377	44546	1571798
1378	44576	1571674
1379	44607	1571598
1380	44636	1571440
1381	44665	1571296
1382	44700	1571365
1383	44734	1571393
1384	44793	1572285
1385	44826	1572283
1386	44857	1572201
1387	44894	1572353
1388	44927	1572349
1389	44958	1572241
1390	44986	1572078
1391	45015	1571911
1392	45042	1571694
1393	45071	1571539
1394	45099	1571356
1395	45132	1571376
1396	45168	1571439
1397	45196	1571290
1398	45226	1571148
1399	45254	1570973
1400	45285	1570888
1401	45320	1570961
1402	45353	1570958
1403	45384	1570885
1404	45419	1570917
1405	45453	1570959
1406	45487	1570980
1407	45522	1571054
1408	45554	1571001
1409	45589	1571055
1410	45627	1571213
1411	45657	1571118
1412	45688	1571024
1413	45716	1570843
1414	45744	1570672
1415	45774	1570543
1416	45805	1570493
1417	45848	1570827
1418	45935	1572638
1419	45964	1572493
1420	45992	1572333
1421	46027	1572378
1422	46062	1572434
1423	46094	1572377
1424	46122	1572203
1425	46151	1572055
1426	46179	1571869
1427	46209	1571780
1428	46245	1571867
1429	46278	1571853
1430	46312	1571869
1431	46341	1571719
1432	46369	1571554
1433	46401	1571513
1434	46432	1571423
1435	46467	1571488
1436	46498	1571404
1437	46530	1571370
1438	46563	1571349
1439	46601	1571493
1440	46635	1571524
1441	46671	1571631
1442	46707	1571725
1443	46743	1571801
1444	46775	1571769
1445	46806	1571685
1446	46833	1571478
1447	46863	1571335
1448	46894	1571266
1449	46928	1571305
1450	46978	1571852
1451	47051	1573191
1452	47082	1573094
1453	47115	1573091
1454	47145	1572976
1455	47178	1572948
1456	47207	1572808
1457	47234	1572588
1458	47263	1572471
1459	47299	1572537
1460	47327	1572378
1461	47358	1572299
1462	47398	1572507
1463	47428	1572401
1464	47456	1572225
1465	47487	1572125
1466	47519	1572106
1467	47550	1572017
1468	47581	1571937
1469	47613	1571902
1470	47649	1571983
1471	47715	1573065
1472	47818	1575356
1473	47878	1576234
1474	47926	1576688
1475	47972	1577128
1476	48009	1577226
1477	48047	1577382
1478	48165	1580150
1479	48195	1580045
1480	48224	1579887
1481	48251	1579679
1482	48286	1579704
1483	48319	1579703
1484	48349	1579566
1485	48377	1579411
1486	48406	1579261
1487	48435	1579104
1488	48464	1578953
1489	48498	1578977
1490	48535	1579064
1491	48566	1578982
1492	48592	1578747
1493	48623	1578657
1494	48661	1578817
1495	48695	1578824
